S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1589,2014-12-24,24,7788.00,4066376.00,529.00,518.00,522.00
1590,2014-12-23,18,5190.00,2664812.00,521.00,509.00,519.00
1591,2014-12-22,33,10274.00,5294336.00,524.00,512.00,516.00
1592,2014-12-21,18,8481.00,4437390.00,529.00,519.00,526.00
1593,2014-12-18,16,6960.00,3637470.00,534.00,520.00,534.00
1594,2014-12-17,22,6735.00,3529234.00,529.00,520.00,520.00
1595,2014-12-16,38,15177.00,8044601.00,536.00,521.00,532.00
1596,2014-12-15,68,24919.00,13329852.00,554.00,520.00,530.00
1597,2014-12-14,42,24481.00,12552131.00,540.00,490.00,536.00
1598,2014-12-11,41,16693.00,8323084.00,508.00,490.00,500.00
1599,2014-12-10,21,8114.00,4037466.00,510.00,490.00,496.00
1600,2014-12-09,19,5771.00,2813829.00,491.00,485.00,491.00
1601,2014-12-08,15,2926.00,1428804.00,493.00,483.00,492.00
1602,2014-12-07,9,4381.00,2145007.00,497.00,485.00,490.00
1603,2014-12-04,13,2370.00,1159369.00,495.00,472.00,490.00
1604,2014-12-03,27,6424.00,3111194.00,492.00,479.00,479.00
1605,2014-12-02,25,5527.00,2611838.00,480.00,470.00,477.00
1606,2014-12-01,14,4399.00,2110401.00,489.00,476.00,489.00
1607,2014-11-30,13,3286.00,1603284.00,495.00,480.00,480.00
1608,2014-11-25,7,2029.00,1002957.00,495.00,485.00,495.00
1609,2014-11-24,4,1937.00,955168.00,494.00,491.00,494.00
1610,2014-11-23,35,11884.00,5854382.00,504.00,481.00,482.00
1611,2014-11-20,14,4239.00,2071921.00,495.00,481.00,490.00
