S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
514,2019-03-18,1,10.00,990.00,99.00,99.00,99.00
515,2019-03-17,1,60.00,5880.00,98.00,98.00,98.00
516,2019-03-14,6,270.00,26030.00,97.00,96.00,97.00
517,2019-03-13,4,1230.00,122680.00,100.00,98.00,98.00
518,2019-03-12,10,1830.00,176940.00,99.00,93.00,99.00
519,2019-03-11,1,10.00,930.00,93.00,92.00,93.00
520,2019-03-07,9,1210.00,110520.00,92.00,91.00,92.00
521,2019-03-06,2,120.00,10940.00,92.00,91.00,91.00
522,2019-03-05,1,100.00,9100.00,91.00,90.00,91.00
523,2019-03-03,3,130.00,11700.00,90.00,90.00,90.00
524,2019-02-27,2,210.00,19070.00,91.00,90.00,90.00
525,2019-02-26,3,180.00,16300.00,91.00,90.00,90.00
526,2019-02-25,6,1080.00,96900.00,90.00,89.00,90.00
527,2019-02-21,2,210.00,18890.00,90.00,89.00,89.00
528,2019-02-20,7,830.00,76030.00,94.00,90.00,90.00
529,2019-02-19,1,60.00,5640.00,95.00,94.00,94.00
530,2019-02-17,6,330.00,31690.00,97.00,95.00,95.00
531,2019-02-13,3,30.00,2880.00,97.00,94.00,97.00
532,2019-02-12,3,670.00,62480.00,94.00,93.00,94.00
533,2019-02-11,4,230.00,21720.00,96.00,94.00,94.00
534,2019-02-07,1,10.00,960.00,96.00,95.00,96.00
535,2019-02-06,13,1410.00,133570.00,96.00,94.00,95.00
536,2019-02-05,2,200.00,18800.00,95.00,94.00,94.00
537,2019-02-03,1,30.00,2850.00,96.00,95.00,95.00
538,2019-01-29,2,110.00,10620.00,98.00,96.00,96.00
539,2019-01-24,2,100.00,9800.00,98.00,98.00,98.00
540,2019-01-09,2,160.00,15620.00,98.00,97.00,98.00
541,2019-01-07,4,530.00,51940.00,98.00,98.00,98.00
542,2019-01-03,1,50.00,5000.00,100.00,100.00,100.00
543,2018-12-31,1,18.00,1800.00,100.00,99.00,100.00
544,2018-12-26,3,990.00,98010.00,99.00,98.00,99.00
545,2018-12-25,3,218.00,21364.00,98.00,98.00,98.00
546,2018-12-24,1,40.00,3920.00,99.00,98.00,98.00
547,2018-12-20,1,90.00,8910.00,99.00,98.00,99.00
548,2018-12-19,1,40.00,3920.00,98.00,98.00,98.00
549,2018-12-18,2,120.00,11720.00,98.00,97.00,98.00
550,2018-10-15,3,410.00,40420.00,102.00,98.00,98.00
551,2018-10-14,6,620.00,62000.00,101.00,99.00,100.00
552,2018-10-11,2,130.00,13000.00,100.00,100.00,100.00
553,2018-10-10,4,370.00,36970.00,100.00,99.00,100.00
554,2018-10-09,1,90.00,9090.00,101.00,101.00,101.00
555,2018-10-07,3,140.00,14140.00,101.00,101.00,101.00
556,2018-10-04,5,240.00,24760.00,104.00,103.00,103.00
557,2018-10-03,4,7020.00,716020.00,103.00,101.00,102.00
558,2018-10-02,6,970.00,98990.00,103.00,100.00,103.00
559,2018-10-01,3,1080.00,107000.00,100.00,99.00,100.00
560,2018-09-30,2,70.00,7070.00,101.00,101.00,101.00
561,2018-09-27,8,2070.00,208200.00,102.00,100.00,101.00
562,2018-09-26,12,680.00,67580.00,100.00,99.00,99.00
563,2018-09-25,12,2465.00,241790.00,100.00,98.00,97.00
564,2018-09-20,3,150.00,15200.00,102.00,100.00,100.00
565,2018-09-18,13,1885.00,191190.00,103.00,100.00,103.00
566,2018-09-10,2,330.00,33030.00,101.00,100.00,100.00
