S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
322,2020-08-30,42,700.00,36930.00,54.00,52.00,53.00
323,2020-08-27,84,3790.00,202880.00,54.00,51.00,54.00
324,2020-08-26,54,1370.00,71570.00,54.00,51.00,53.00
325,2020-08-25,42,850.00,45580.00,55.00,52.00,55.00
326,2020-08-24,69,1219.00,63368.00,53.00,51.00,53.00
327,2020-08-23,33,4015.00,202200.00,54.00,50.00,53.00
328,2020-08-20,23,410.00,20940.00,52.00,50.00,52.00
329,2020-08-19,30,510.00,26200.00,52.00,50.00,51.00
330,2020-08-18,34,700.00,36120.00,53.00,50.00,52.00
331,2020-08-17,56,1830.00,94190.00,53.00,50.00,52.00
332,2020-08-16,45,1590.00,81030.00,53.00,50.00,50.00
333,2020-08-13,68,2450.00,128900.00,54.00,50.00,54.00
334,2020-08-12,41,580.00,29970.00,53.00,51.00,51.00
335,2020-08-11,68,1870.00,96328.60,54.00,49.00,54.00
336,2020-08-10,93,1661.00,86751.00,54.00,50.00,52.00
337,2020-08-09,75,1250.00,64460.00,55.00,50.00,53.00
338,2020-08-06,40,670.00,35380.00,54.00,51.00,53.00
339,2020-08-05,35,711.00,39565.00,60.00,55.00,55.00
340,2020-08-03,19,1580.00,102390.00,67.00,61.00,61.00
341,2020-08-02,111,13626.00,826579.00,62.00,57.00,62.00
342,2020-07-30,63,8030.00,456370.00,57.00,53.00,57.00
343,2020-07-29,45,800.00,41450.00,52.00,50.00,52.00
344,2020-07-28,47,790.00,37958.00,48.96,47.50,48.10
345,2020-07-27,75,1175.00,56758.85,49.00,47.04,48.01
346,2020-07-26,69,1010.00,48124.80,48.96,47.10,48.00
347,2020-07-23,60,2370.00,113171.60,50.00,47.25,48.00
348,2020-07-22,78,2180.00,107217.60,49.98,48.20,49.10
349,2020-07-21,64,1240.00,60556.80,49.98,48.00,49.98
350,2020-07-20,35,600.00,29132.60,50.00,47.06,48.02
351,2020-07-16,28,420.00,20469.00,49.00,48.50,49.00
352,2020-07-15,35,510.00,25083.80,50.00,49.00,49.00
353,2020-07-14,21,340.00,16575.80,49.98,48.10,49.00
354,2020-07-13,38,830.00,39591.45,48.99,47.07,48.10
355,2020-07-12,47,1030.00,49054.30,50.00,46.40,48.03
356,2020-07-09,28,380.00,18334.40,49.00,48.02,48.30
357,2020-07-08,22,340.00,16405.40,49.06,48.00,49.06
358,2020-07-07,33,560.00,27442.00,49.05,49.00,49.00
359,2020-07-06,20,480.00,23520.00,49.00,49.00,49.00
360,2020-07-05,11,190.00,9238.00,49.00,48.20,49.00
361,2020-07-02,2,60.00,2940.00,49.00,49.00,49.00
362,2020-06-29,19,550.00,27700.00,51.00,50.00,50.00
363,2020-05-13,6,80.00,4080.00,51.00,51.00,51.00
364,2020-03-19,12,190.00,9590.00,52.00,50.00,52.00
365,2020-03-18,17,430.00,21910.00,52.00,50.00,51.00
366,2020-03-17,24,930.00,48930.00,53.00,52.00,52.00
367,2020-03-16,21,340.00,17580.00,53.00,51.00,52.00
368,2020-03-15,27,760.00,39750.00,54.00,52.00,53.00
369,2020-03-12,34,550.00,29040.00,54.00,52.00,53.00
370,2020-03-11,24,735.00,38135.00,54.00,51.00,53.00
